x,y,z,r,g,b
13,37,0,0.5703431372549018,0.5031862745098039,0.45784313725490206
4,35,25,0.23850267379679144,0.19429590017825313,0.16862745098039217
33,24,30,0.5435635123614662,0.4603580562659847,0.41244671781756187
26,25,30,0.6451397580308723,0.5984146850229454,0.4864413850646641
0,0,2,0.36551030668677686,0.2972347913524383,0.21694318753142247
51,37,11,0.5513725490196079,0.512156862745098,0.4909803921568628
23,37,0,0.5705882352941175,0.49869281045751634,0.45424836601307195
15,37,4,0.5464052287581699,0.5032679738562091,0.48104575163398694
3,1,9,0.3470588235294118,0.31764705882352945,0.25176470588235295
6,27,3,0.5793226381461675,0.49411764705882355,0.4345811051693405
28,15,39,0.2344537815126051,0.20420168067226888,0.1826330532212885
17,37,5,0.5505882352941176,0.5050980392156863,0.48392156862745106
3,0,42,0.28739495798319326,0.3182072829131653,0.3355742296918768
1,1,9,0.4462745098039217,0.39372549019607844,0.33281045751633986
0,1,47,0.44477124183006533,0.37777777777777777,0.31895424836601305
65,28,33,0.6349673202614378,0.5522875816993463,0.5013071895424837
47,7,32,0.15686274509803919,0.14901960784313723,0.12941176470588237
46,7,31,0.1758169934640523,0.1607843137254902,0.13790849673202613
71,26,30,0.609313725490196,0.5784313725490197,0.5549019607843136
41,16,52,0.403921568627451,0.3176470588235294,0.2549019607843137
23,6,32,0.1584313725490196,0.15215686274509804,0.1380392156862745
42,0,33,0.26745098039215687,0.3003921568627451,0.3168627450980392
67,21,2,0.5816305469556241,0.5009287925696594,0.45015479876160996
6,2,8,0.4776470588235294,0.37333333333333335,0.27372549019607845
20,13,32,0.027668845315904148,0.03986928104575162,0.04771241830065361
63,0,41,0.2627450980392157,0.29411764705882354,0.30980392156862746
56,7,2,0.5931372549019608,0.5058823529411764,0.4549019607843137
5,29,9,0.6419306184012067,0.5550527903469079,0.5161387631975867
47,17,31,0.4905525846702318,0.413903743315508,0.3532976827094474
29,18,33,0.4189649630343936,0.36522018643522963,0.3202828672452588
4,29,14,0.6282913165266104,0.5445378151260504,0.5016806722689076
32,22,2,0.6101960784313726,0.5223529411764706,0.4627450980392157
67,17,12,0.6,0.5111111111111111,0.4470588235294118
6,8,31,0.5286274509803921,0.4415686274509804,0.3694117647058824
55,35,31,0.5672634271099742,0.4910485933503836,0.4567774936061382
73,33,20,0.5522875816993463,0.4712418300653596,0.42908496732026147
45,0,15,0.27294117647058824,0.3066666666666667,0.3247058823529412
6,13,31,0.3904761904761905,0.3204481792717087,0.2392156862745098
70,0,9,0.2588235294117647,0.28888888888888886,0.30457516339869284
51,3,35,0.2980392156862745,0.2784313725490196,0.2627450980392157
6,29,3,0.5758431372549019,0.4870588235294118,0.4312156862745099
30,0,36,0.27886710239651413,0.3093681917211329,0.32679738562091504
50,10,31,0.2739495798319328,0.23585434173669473,0.19635854341736692
1,1,8,0.45311942959001783,0.4014260249554367,0.34081996434937617
53,4,31,0.21830065359477124,0.1869281045751634,0.15294117647058825
16,37,8,0.4980392156862745,0.4607843137254902,0.44313725490196076
37,0,19,0.26666666666666666,0.30196078431372547,0.3215686274509804
3,1,20,0.32829131652661064,0.30476190476190473,0.234733893557423
6,1,48,0.4769607843137255,0.4127450980392156,0.3519607843137255
3,0,51,0.2741532976827094,0.3016042780748662,0.3155080213903743
23,2,32,0.16197783461210563,0.1522591645353793,0.13503836317135548
11,10,2,0.611764705882353,0.5228758169934641,0.4653594771241831
32,12,2,0.6054901960784314,0.5129411764705882,0.4533333333333333
43,0,13,0.27450980392156865,0.3066666666666667,0.3262745098039216
12,28,0,0.6065359477124184,0.5250544662309368,0.4718954248366013
2,1,22,0.39607843137254894,0.3496732026143791,0.281045751633987
0,1,4,0.4827450980392157,0.41607843137254896,0.3568627450980392
6,3,18,0.4847058823529412,0.3780392156862745,0.2901960784313725
9,0,23,0.2752941176470588,0.3066666666666667,0.3262745098039216
54,19,31,0.6084033613445378,0.5187675070028012,0.46386554621848747
64,37,5,0.5392156862745098,0.48274509803921567,0.4580392156862746
1,1,48,0.4879551820728292,0.4274509803921568,0.3647058823529412
45,37,7,0.542156862745098,0.49901960784313726,0.4784313725490196
66,0,3,0.2823529411764706,0.31529411764705884,0.32784313725490194
17,37,12,0.5352941176470588,0.492156862745098,0.4725490196078431
16,13,2,0.6140056022408965,0.5215686274509804,0.46162464985994406
62,26,33,0.6084033613445378,0.5355742296918767,0.4873949579831933
67,22,3,0.5904761904761905,0.49859943977591037,0.43529411764705894
38,0,42,0.2601307189542484,0.2888888888888889,0.30718954248366015
0,1,5,0.465282583621684,0.39976931949250305,0.3393310265282583
49,0,5,0.27124183006535946,0.30522875816993467,0.31895424836601305
50,4,42,0.17730718954248365,0.18159477124183013,0.16716339869281052
6,3,19,0.477124183006536,0.3712418300653595,0.277124183006536
14,0,36,0.2635294117647059,0.2988235294117647,0.31529411764705884
6,27,25,0.5117647058823529,0.41372549019607835,0.3424836601307189
37,32,2,0.6065359477124183,0.5248366013071896,0.46928104575163404
11,1,39,0.48061002178649237,0.42004357298474937,0.36644880174291944
4,1,12,0.34705882352941175,0.3058823529411765,0.24509803921568626
6,11,21,0.5437908496732026,0.4431372549019608,0.3666666666666667
73,0,24,0.28137254901960784,0.27990196078431373,0.271078431372549
68,26,16,0.588235294117647,0.5490196078431373,0.5199999999999999
39,0,6,0.2647058823529412,0.2980392156862745,0.31666666666666665
10,0,45,0.28235294117647053,0.3125490196078431,0.3298039215686275
4,14,35,0.4596638655462186,0.47983193277310926,0.4238095238095238
5,0,20,0.2745098039215686,0.30588235294117655,0.3254901960784314
49,37,5,0.5372549019607843,0.5019607843137255,0.47843137254901963
34,0,46,0.27058823529411763,0.30457516339869284,0.3209150326797386
53,0,47,0.2627450980392157,0.29934640522875816,0.31633986928104574
13,1,39,0.4705882352941177,0.41176470588235287,0.35637254901960785
20,0,41,0.269281045751634,0.3019607843137255,0.31895424836601305
19,0,43,0.2686274509803922,0.30196078431372547,0.3196078431372549
15,0,34,0.269281045751634,0.303921568627451,0.32287581699346407
56,26,30,0.5196994685724761,0.43188565145684393,0.35422393256367923
1,1,5,0.46446078431372556,0.40833333333333344,0.34779411764705875
43,10,35,0.18976034858387805,0.2827886710239651,0.28453159041394327
16,0,41,0.267379679144385,0.3008912655971479,0.31907308377896615
17,37,17,0.4666666666666666,0.4305882352941176,0.41647058823529415
30,0,6,0.27450980392156865,0.3058823529411765,0.32313725490196077
0,0,43,0.30725490196078425,0.294313725490196,0.276078431372549
18,37,16,0.4758169934640522,0.4366013071895425,0.4222222222222222
16,19,31,0.615686274509804,0.538562091503268,0.48627450980392156
1,1,6,0.45630252100840346,0.40196078431372556,0.3411764705882353
29,17,33,0.3457800511508951,0.28610400682011927,0.24109121909633421
67,26,33,0.592156862745098,0.5206971677559913,0.4736383442265795
22,2,32,0.15915032679738558,0.14754901960784308,0.13088235294117648
3,1,38,0.4609625668449198,0.3985739750445633,0.33939393939393947
47,1,50,0.4588235294117647,0.40392156862745104,0.3490196078431372
67,10,21,0.5557422969187674,0.4683473389355743,0.41624649859943974
0,1,6,0.4751633986928105,0.41405228758169943,0.3562091503267974
15,10,33,0.06623093681917211,0.08175381263616556,0.08638344226579518
48,38,20,0.3279857397504457,0.28092691622103383,0.2638146167557932
1,1,7,0.4599439775910365,0.4056022408963585,0.3456582633053222
38,12,32,0.3508021390374331,0.2777183600713013,0.21247771836007126
31,0,40,0.2722689075630252,0.30364145658263303,0.32212885154061627
3,1,18,0.330718954248366,0.30457516339869284,0.23137254901960783
67,25,12,0.5905882352941176,0.4945098039215686,0.43019607843137253
58,15,47,0.2601307189542485,0.22271736977619336,0.15054466230936783
1,0,41,0.3002801120448179,0.3372549019607844,0.3574229691876751
0,1,10,0.4383442265795207,0.3825708061002179,0.3272331154684096
1,1,34,0.46003016591251894,0.395475113122172,0.33363499245852185
2,1,16,0.3905882352941176,0.3466666666666667,0.2737254901960785
13,33,0,0.6084967320261438,0.5228758169934641,0.46993464052287587
1,1,10,0.443921568627451,0.3925490196078431,0.33137254901960783
33,16,51,0.3431372549019609,0.28553921568627444,0.20000000000000004
42,0,27,0.27450980392156865,0.303921568627451,0.32254901960784316
4,1,36,0.3890426758938872,0.3498269896193773,0.3040369088811996
1,1,11,0.4357843137254902,0.38774509803921564,0.32450980392156864
4,0,40,0.28382352941176464,0.31323529411764706,0.3323529411764706
16,0,27,0.2764705882352941,0.30980392156862746,0.32679738562091504
67,11,3,0.5816993464052287,0.4843137254901961,0.426797385620915
34,0,6,0.25019607843137254,0.28549019607843135,0.30352941176470594
5,1,14,0.3159663865546219,0.27899159663865547,0.2224089635854342
12,0,48,0.2848039215686274,0.3112745098039216,0.3264705882352941
6,13,28,0.49901960784313726,0.40098039215686276,0.31862745098039214
33,19,31,0.4741830065359478,0.38398692810457513,0.3150326797385621
6,8,30,0.5277310924369748,0.4414565826330533,0.3753501400560224
24,9,33,0.18414860681114523,0.1513725490196077,0.09667698658410717
73,32,31,0.588235294117647,0.5030065359477124,0.45934640522875825
1,1,12,0.42843137254901964,0.3818627450980392,0.3166666666666667
55,4,31,0.307843137254902,0.25098039215686274,0.2
6,19,26,0.5317647058823529,0.43725490196078437,0.3611764705882353
4,29,2,0.6023529411764704,0.5233333333333332,0.48098039215686283
22,5,32,0.1576971214017523,0.1482686691697957,0.13416770963704647
6,13,19,0.5352941176470588,0.4372549019607843,0.34705882352941175
17,37,24,0.48921568627450984,0.45294117647058824,0.43333333333333335
6,8,27,0.5019607843137255,0.40784313725490196,0.3215686274509804
55,0,4,0.27999999999999997,0.30980392156862746,0.3254901960784314
13,37,33,0.6028011204481791,0.5235294117647059,0.4840336134453782
6,29,7,0.5492647058823528,0.463970588235294,0.4056372549019608
7,37,12,0.5343137254901961,0.4970588235294117,0.4774509803921569
