x,y,z,r,g,b
35,13,2,0.6031372549019607,0.5141176470588235,0.4560784313725491
2,0,38,0.2867647058823529,0.3156862745098039,0.33088235294117646
15,23,26,0.5876319758672698,0.5174962292609352,0.4775263951734541
0,0,2,0.36632636525684625,0.30069680764867907,0.22307567655161184
57,26,22,0.4809769521843818,0.4110767113863086,0.3654626762985896
46,13,24,0.40201193520886574,0.33947144075021296,0.24572890025575403
2,11,27,0.560152505446623,0.5032461873638345,0.3592156862745098
22,1,38,0.4372549019607843,0.38235294117647056,0.3313725490196079
3,0,42,0.2870915032679738,0.31176470588235283,0.3253267973856208
1,1,9,0.42459893048128344,0.37932263814616757,0.3144385026737968
1,1,5,0.45180598555211565,0.3985552115583077,0.33684210526315783
15,0,34,0.27189542483660134,0.30457516339869284,0.322875816993464
11,0,18,0.28235294117647053,0.3137254901960784,0.3302832244008715
45,21,26,0.5411764705882353,0.4661764705882354,0.4149509803921568
0,1,3,0.48316993464052294,0.4140522875816995,0.3544117647058822
28,8,33,0.3376114081996436,0.5504456327985738,0.5664884135472369
41,0,17,0.265359477124183,0.2980392156862745,0.31633986928104574
4,1,13,0.32450980392156864,0.28627450980392155,0.22990196078431374
49,0,36,0.26143790849673204,0.29411764705882354,0.3084967320261438
5,0,21,0.26627450980392153,0.29999999999999993,0.3192156862745098
38,1,38,0.434173669467787,0.3848739495798319,0.3389355742296919
0,1,4,0.4741687979539642,0.4112531969309465,0.35294117647058815
0,0,25,0.3155830753353972,0.30980392156862735,0.2949432404540763
17,21,24,0.6515406162464986,0.5736694677871148,0.523249299719888
38,0,11,0.27668845315904134,0.3089324618736383,0.32941176470588235
5,20,12,0.5953654188948305,0.49269162210338685,0.4171122994652406
11,12,26,0.12174688057041,0.11818181818181821,0.1107843137254902
9,0,23,0.27149321266968324,0.3025641025641025,0.321870286576169
57,27,12,0.5322128851540616,0.4435107376283848,0.3886087768440711
39,0,7,0.26330532212885155,0.2946778711484594,0.3126050420168068
21,23,0,0.5863777089783284,0.49958720330237333,0.4470588235294118
13,18,24,0.653921568627451,0.5823529411764705,0.5323529411764706
40,26,2,0.6054901960784312,0.5218300653594771,0.4690196078431373
5,15,17,0.5624649859943979,0.461624649859944,0.3663865546218487
21,23,1,0.5751065643648762,0.48661551577152606,0.4410912190963343
40,0,42,0.2564705882352941,0.2925490196078432,0.312156862745098
5,15,22,0.49381598793363496,0.39819004524886886,0.3167420814479638
5,14,15,0.5635854341736694,0.46050420168067235,0.3775910364145658
11,12,27,0.10490196078431373,0.10130718954248367,0.09101307189542485
51,25,2,0.6044117647058823,0.5186274509803921,0.4637254901960785
0,1,5,0.47511312217194573,0.41508295625942687,0.35867269984917044
38,0,42,0.2583877995642701,0.2901960784313725,0.30501089324618735
8,0,24,0.2725490196078431,0.30644257703081224,0.3260504201680673
3,29,22,0.5892156862745097,0.5002450980392157,0.45661764705882363
28,17,2,0.6036414565826329,0.5156862745098039,0.45518207282913176
5,6,21,0.4815686274509804,0.39058823529411757,0.30745098039215685
3,0,8,0.2775599128540305,0.30718954248366015,0.3272331154684096
50,3,34,0.09740670461733082,0.05578747628083493,0.06578115117014548
41,1,29,0.34823529411764703,0.3333333333333333,0.29333333333333333
56,0,13,0.26143790849673204,0.29411764705882354,0.30980392156862746
43,5,26,0.153921568627451,0.1480392156862745,0.1303921568627451
19,13,29,0.2757748260594561,0.23617963314358006,0.19177735610373195
58,0,4,0.2657329598506069,0.27619047619047615,0.27619047619047615
2,1,9,0.34771241830065364,0.31895424836601305,0.25272331154684097
40,2,27,0.34183006535947713,0.3243137254901961,0.3067973856209151
50,18,2,0.5932263814616755,0.509090909090909,0.4566844919786097
3,1,38,0.4823529411764706,0.4212418300653595,0.3565359477124183
32,22,24,0.6029927760577918,0.515170278637771,0.4667698658410732
0,1,6,0.46666666666666673,0.4075163398692811,0.35261437908496734
17,14,25,0.4455882352941177,0.3911764705882353,0.34656862745098044
46,33,20,0.503921568627451,0.46732026143790856,0.4522875816993465
1,1,6,0.4470588235294119,0.3957219251336898,0.33333333333333337
30,0,6,0.26778711484593837,0.30364145658263303,0.3215686274509804
0,0,43,0.3250132485426601,0.30286168521462625,0.28378378378378366
2,1,28,0.4613610149942331,0.3875432525951558,0.3160322952710495
38,15,24,0.5818369453044374,0.4899896800825594,0.43529411764705894
5,20,19,0.588235294117647,0.4862745098039215,0.420392156862745
40,5,24,0.13333333333333333,0.12287581699346406,0.10980392156862744
1,1,7,0.43529411764705894,0.3859649122807019,0.32342621259029924
20,21,0,0.5896613190730838,0.5033868092691621,0.4500297088532384
13,7,24,0.13686274509803922,0.11843137254901961,0.10588235294117647
8,14,28,0.4897058823529412,0.41372549019607835,0.36078431372549025
19,12,26,0.34864010120177114,0.30347881087919054,0.2613535736875395
7,30,15,0.45196078431372544,0.4127450980392157,0.3970588235294118
19,30,4,0.5450980392156862,0.50239651416122,0.48409586056644877
35,7,26,0.10473604826546007,0.13828054298642542,0.14105580693815997
41,7,25,0.13725490196078433,0.14607843137254903,0.13627450980392158
25,25,2,0.6049910873440285,0.5251336898395722,0.4705882352941177
49,27,2,0.6035650623885916,0.520855614973262,0.46951871657754013
2,1,15,0.3509803921568628,0.3183006535947713,0.24640522875816995
34,0,32,0.26778711484593837,0.29971988795518206,0.3148459383753502
47,0,32,0.26078431372549016,0.29477124183006537,0.31176470588235294
5,13,21,0.5585434173669467,0.4644257703081233,0.40504201680672264
3,30,7,0.5551820728291315,0.47338935574229696,0.43585434173669474
9,30,2,0.5350762527233115,0.5041394335511983,0.481917211328976
0,1,7,0.45632798573975053,0.39803921568627465,0.34349376114081986
8,11,26,0.02205245734657498,0.037535014005602226,0.04486885663356246
9,16,2,0.6062745098039215,0.5137254901960784,0.45882352941176474
23,11,2,0.6161764705882353,0.5264705882352941,0.4642156862745099
3,29,16,0.5945533769063179,0.5093681917211329,0.469281045751634
58,22,23,0.5978609625668448,0.5133689839572192,0.4616755793226382
3,1,33,0.47933634992458524,0.4177978883861237,0.3571644042232277
16,20,2,0.5972318339100344,0.5102652825836217,0.45905420991926194
35,13,26,0.5103338632750397,0.4249072602013781,0.3723370429252786
40,19,2,0.6039215686274509,0.5210784313725491,0.46813725490196084
6,3,29,0.19798622151563317,0.21822999470058316,0.21897191308956038
0,0,26,0.326470588235294,0.3023529411764705,0.27588235294117647
14,0,38,0.28137254901960784,0.3127450980392157,0.3284313725490196
5,5,19,0.5137254901960784,0.411764705882353,0.3427450980392157
16,6,24,0.14352941176470585,0.12313725490196079,0.11137254901960784
32,15,2,0.5960784313725489,0.5125,0.45637254901960794
17,1,40,0.4674509803921569,0.40627450980392155,0.3482352941176471
44,7,25,0.1443627450980392,0.146078431372549,0.13529411764705881
40,0,31,0.2676470588235294,0.30098039215686273,0.317156862745098
5,22,18,0.5243697478991597,0.44145658263305315,0.3837535014005602
6,1,28,0.37058823529411783,0.3150829562594267,0.26349924585218704
50,29,2,0.5852941176470587,0.5094771241830065,0.46045751633986937
0,1,8,0.4383753501400561,0.38235294117647056,0.32605042016806723
48,2,40,0.1499999999999998,0.1829939668174959,0.15527903469079918
38,0,31,0.26666666666666666,0.30117647058823527,0.3184313725490196
28,8,2,0.6162464985994399,0.5221288515406163,0.4582633053221289
5,8,19,0.5568627450980391,0.4554621848739497,0.3549019607843137
33,7,33,0.32455031599416606,0.47450980392156833,0.49729379355047754
41,0,13,0.2764705882352941,0.307843137254902,0.3261437908496732
16,2,26,0.15568627450980388,0.14647058823529407,0.13392156862745097
16,0,28,0.2745098039215686,0.3065953654188948,0.3251336898395722
47,1,24,0.26778711484593837,0.22212885154061632,0.18011204481792717
4,0,43,0.3286527514231499,0.31574952561669833,0.30107526881720437
58,24,21,0.5596169630642961,0.47606019151846746,0.42717738258093907
3,28,10,0.34158926728586164,0.291640866873065,0.2559339525283798
5,9,19,0.5470588235294117,0.444607843137255,0.3651960784313726
53,4,31,0.08562091503267973,0.11960784313725488,0.1326797385620915
1,1,8,0.43137254901960786,0.38250377073906494,0.318552036199095
26,30,8,0.5557932263814616,0.5101604278074866,0.4859180035650624
30,0,36,0.25908496732026143,0.2888888888888888,0.3077124183006535
35,1,24,0.1760348583877996,0.15947712418300652,0.13681917211328976
3,1,10,0.3266106442577031,0.2957983193277311,0.2330532212885154
55,29,3,0.5488562091503267,0.46666666666666673,0.4264705882352942
42,23,24,0.5742508324084357,0.4901960784313728,0.4421753607103215
11,30,5,0.538375350140056,0.49747899159663866,0.47675070028011207
5,3,10,0.5092436974789916,0.39999999999999997,0.30084033613445377
2,1,16,0.35411764705882354,0.32313725490196077,0.25254901960784315
42,2,2,0.5392156862745098,0.4568627450980392,0.39934640522875814
7,10,27,0.20450254175744376,0.16514161220043574,0.09586056644880177
5,1,15,0.330718954248366,0.28649237472766886,0.17886710239651413
1,1,10,0.4113725490196078,0.36745098039215685,0.3035294117647059
5,9,17,0.545751633986928,0.4431372549019608,0.3666666666666667
17,23,24,0.6182555780933062,0.541446923597025,0.49371196754563895
43,1,2,0.48169934640522877,0.39738562091503266,0.3405228758169934
3,28,22,0.4021116138763197,0.33815987933634994,0.3052790346907994
58,24,9,0.604382929642445,0.5084198385236447,0.4576701268742792
1,1,12,0.41323529411764703,0.36421568627450984,0.29460784313725485
5,10,21,0.5254901960784314,0.4245098039215687,0.338235294117647
3,2,29,0.4860535763601213,0.47351560342446813,0.420657276995305
6,8,27,0.22753623188405797,0.1991474850809889,0.17570332480818412
24,19,24,0.5424089635854343,0.4501960784313718,0.3903641456582629
2,1,10,0.34640522875817004,0.3176470588235294,0.25054466230936817
9,11,27,0.04379084967320261,0.05577342047930283,0.059041394335512
48,0,18,0.26588235294117646,0.2988235294117647,0.31529411764705884
3,25,14,0.6190045248868776,0.5375565610859728,0.4995475113122172
4,1,33,0.48588235294117643,0.4223529411764705,0.3623529411764706
55,28,21,0.5783160322952708,0.49457900807381777,0.4620530565167244
5,12,22,0.4722689075630252,0.3843137254901961,0.3086834733893558
33,30,2,0.553688141923436,0.4954248366013072,0.4638655462184874
2,0,3,0.2755793226381461,0.3101604278074866,0.32691622103386814
5,9,23,0.5176470588235293,0.4211764705882353,0.3419607843137255
46,30,11,0.5313725490196078,0.4875816993464053,0.46928104575163393
41,11,2,0.5993464052287582,0.5104575163398692,0.4562091503267974
6,1,27,0.41078431372549024,0.3441176470588236,0.28496732026143784
4,1,14,0.3385620915032679,0.2971677559912853,0.23986928104575167
5,23,26,0.5894288150042624,0.529923273657289,0.4970161977834613
2,1,11,0.3496732026143791,0.31764705882352945,0.24836601307189546
5,20,7,0.5946078431372549,0.4946078431372549,0.4161764705882352
4,0,40,0.279354094579008,0.3058823529411764,0.3211072664359862
1,1,11,0.41127450980392155,0.3647058823529412,0.2980392156862745
3,28,11,0.4522875816993463,0.3871148459383753,0.3467787114845938
20,13,26,0.37817561807331623,0.32549019607843144,0.25848252344416023
46,30,14,0.5248366013071896,0.4888888888888889,0.4686274509803922
23,6,26,0.16274509803921572,0.15411764705882353,0.13803921568627447
4,1,36,0.4788927335640138,0.4168396770472896,0.3570934256055362
42,0,27,0.2647058823529412,0.2995098039215686,0.31519607843137254
55,28,8,0.494640522875817,0.4321568627450981,0.40836601307189546
